ID,SITUAÇÃO,FCI,CPF,CNS,NOME,IDADE,DT DE NASCIMENTO,CONTATO,SITUAÇÃO PRÉ-NATAL,AUTORREFERIDO,ABERTURA PRÉ-NATAL,CONDIÇÃO ATIVA,DUM (INÍCIO),DPP REAL (40 SEMANAS),DPP + 14 DIAS (FIM),IG 1ª CONSULTA,TOTAL CONSULTAS,<=12 SEMANAS,NUMERADOR i1,TR HIV (REALIZAÇÃO),SOROLOGIA HIV (AVALIAÇÃO),TR SÍFILIS (REALIZAÇÃO),SOROLOGIA SÍFILIS (AVALIAÇÃO),NUMERADOR i2,TOTAL CONSULTAS ODONTO,ÚLTIMA CONSULTA ODONTO,NUMERADOR i3,UNIDADE,EQUIPE,ACS,MICROÁREA,VISITA 'REALIZADA' POR ACS (ÚLTIMOS 12 MESES)
1549729,ATIVO,NÃO,00000000000,000000000000000,CONFERENCIA,30,1990-01-01 00:00:00,1499999999,EM ANDAMENTO,NÃO,2023-09-21 00:00:00,,24/04/2023,2024-01-29 00:00:00,2024-02-12 00:00:00,21,7,NÃO,NÃO,,,,,NÃO,0,,NÃO,UBS Santa Antonieta,EAP SANTA ANTONIETA,,,
1549729,ATIVO,NÃO,00000000000,000000000000000,CONFERENCIA,30,1990-01-01 00:00:00,1499999999,EM ANDAMENTO,NÃO,2023-09-21 00:00:00,,24/04/2023,2024-01-29 00:00:00,2024-02-12 00:00:00,21,7,NÃO,NÃO,,,,,NÃO,0,,NÃO,UBS Santa Antonieta,EAP CHICO MENDES,,,
1549729,ATIVO,NÃO,00000000000,000000000000000,CONFERENCIA,30,1990-01-01 00:00:00,1499999999,EM ANDAMENTO,NÃO,2023-09-21 00:00:00,,24/04/2023,2024-01-29 00:00:00,2024-02-12 00:00:00,21,7,NÃO,NÃO,,,,,NÃO,0,,NÃO,UBS Santa Antonieta,EAP PLANALTO,,,
1549729,ATIVO,NÃO,00000000000,000000000000000,CONFERENCIA,30,1990-01-01 00:00:00,1499999999,EM ANDAMENTO,NÃO,2023-09-21 00:00:00,,24/04/2023,2024-01-29 00:00:00,2024-02-12 00:00:00,21,7,NÃO,NÃO,,,,,NÃO,0,,NÃO,UBS Santa Antonieta,EAP SAO JUDAS,,,
1549729,ATIVO,NÃO,00000000000,000000000000000,CONFERENCIA,30,1990-01-01 00:00:00,1499999999,EM ANDAMENTO,NÃO,2023-09-21 00:00:00,,24/04/2023,2024-01-29 00:00:00,2024-02-12 00:00:00,21,7,NÃO,NÃO,,,,,NÃO,0,,NÃO,UBS Santa Antonieta,AEROPORTO,,,
1549729,ATIVO,NÃO,00000000000,000000000000000,CONFERENCIA,30,1990-01-01 00:00:00,1499999999,EM ANDAMENTO,NÃO,2023-09-21 00:00:00,,24/04/2023,2024-01-29 00:00:00,2024-02-12 00:00:00,21,7,NÃO,NÃO,,,,,NÃO,0,,NÃO,UBS Santa Antonieta,ALTANEIRA,,,
1549729,ATIVO,NÃO,00000000000,000000000000000,CONFERENCIA,30,1990-01-01 00:00:00,1499999999,EM ANDAMENTO,NÃO,2023-09-21 00:00:00,,24/04/2023,2024-01-29 00:00:00,2024-02-12 00:00:00,21,7,NÃO,NÃO,,,,,NÃO,0,,NÃO,UBS Santa Antonieta,ANIZ BADRA,,,
1549729,ATIVO,NÃO,00000000000,000000000000000,CONFERENCIA,30,1990-01-01 00:00:00,1499999999,EM ANDAMENTO,NÃO,2023-09-21 00:00:00,,24/04/2023,2024-01-29 00:00:00,2024-02-12 00:00:00,21,7,NÃO,NÃO,,,,,NÃO,0,,NÃO,UBS Santa Antonieta,ARGOLO FERRAO,,,
1549729,ATIVO,NÃO,00000000000,000000000000000,CONFERENCIA,30,1990-01-01 00:00:00,1499999999,EM ANDAMENTO,NÃO,2023-09-21 00:00:00,,24/04/2023,2024-01-29 00:00:00,2024-02-12 00:00:00,21,7,NÃO,NÃO,,,,,NÃO,0,,NÃO,UBS Santa Antonieta,AVENCAS/ AMADEU AMARAL,,,
1549729,ATIVO,NÃO,00000000000,000000000000000,CONFERENCIA,30,1990-01-01 00:00:00,1499999999,EM ANDAMENTO,NÃO,2023-09-21 00:00:00,,24/04/2023,2024-01-29 00:00:00,2024-02-12 00:00:00,21,7,NÃO,NÃO,,,,,NÃO,0,,NÃO,UBS Santa Antonieta,USF BANDEIRANTES,,,
